"","id","firstname","surname","born","died","bornCountry","bornCountryCode","bornCity","diedCountry","diedCountryCode","diedCity","gender","year","category","overallMotivation","share","motivation","name","city","country"
"308",293,"Emil Adolf","von Behring","1854-03-15","1917-03-31","Prussia (now Poland)","PL","Hansdorf (now Jankowa &#379;aga&#324;ska)","Germany","DE","Marburg","male",1901,"medicine","",1,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""","Marburg University","Marburg","Germany"
"309",294,"Ronald","Ross","1857-05-13","1932-09-16","India","IN","Almora","United Kingdom","UK","Putney Heath","male",1902,"medicine","",1,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""","University College","Liverpool","United Kingdom"
"310",295,"Niels Ryberg","Finsen","1860-12-15","1904-09-24","Faroe Islands (Denmark)","","Thorshavn","Denmark","DK","Copenhagen","male",1903,"medicine","",1,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""","Finsen Medical Light Institute","Copenhagen","Denmark"
"311",296,"Ivan Petrovich","Pavlov","1849-09-14","1936-02-27","Russia","RU","Ryazan","Russia","RU","Leningrad","male",1904,"medicine","",1,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged""","Military Medical Academy","St. Petersburg","Russia"
"312",297,"Robert","Koch","1843-12-11","1910-05-27","Germany","DE","Clausthal (now Clausthal-Zellerfeld)","Germany","DE","Baden-Baden","male",1905,"medicine","",1,"""for his investigations and discoveries in relation to tuberculosis""","Institute for Infectious Diseases","Berlin","Germany"
"313",298,"Camillo","Golgi","1843-07-07","1926-01-21","Italy","IT","Corteno","Italy","IT","Pavia","male",1906,"medicine","",2,"""in recognition of their work on the structure of the nervous system""","Pavia University","Pavia","Italy"
"314",299,"Santiago","Ramón y Cajal","1852-05-01","1934-10-17","Spain","ES","Petilla de Aragó","Spain","ES","Madrid","male",1906,"medicine","",2,"""in recognition of their work on the structure of the nervous system""","Madrid University","Madrid","Spain"
"315",300,"Charles Louis Alphonse","Laveran","1845-06-18","1922-05-18","France","FR","Paris","France","FR","Paris","male",1907,"medicine","",1,"""in recognition of his work on the role played by protozoa in causing diseases""","Institut Pasteur","Paris","France"
"316",301,"Ilya Ilyich","Mechnikov","1845-05-16","1916-07-16","Russian Empire (now Ukraine)","UA","Kharkov (now Kharkiv)","France","FR","Paris","male",1908,"medicine","",2,"""in recognition of their work on immunity""","Institut Pasteur","Paris","France"
"317",302,"Paul","Ehrlich","1854-03-14","1915-08-20","Prussia (now Poland)","PL","Strehlen (now Strzelin)","Germany","DE","Bad Homburg vor der Höhe","male",1908,"medicine","",2,"""in recognition of their work on immunity""","Goettingen University","Goettingen","Germany"
"318",302,"Paul","Ehrlich","1854-03-14","1915-08-20","Prussia (now Poland)","PL","Strehlen (now Strzelin)","Germany","DE","Bad Homburg vor der Höhe","male",1908,"medicine","",2,"""in recognition of their work on immunity""","Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy)","Frankfurt-on-the-Main","Germany"
"319",303,"Emil Theodor","Kocher","1841-08-25","1917-07-27","Switzerland","CH","Berne","Switzerland","CH","Berne","male",1909,"medicine","",1,"""for his work on the physiology, pathology and surgery of the thyroid gland""","Berne University","Berne","Switzerland"
"320",304,"Albrecht","Kossel","1853-09-16","1927-07-05","Mecklenburg (now Germany)","DE","Rostock","Germany","DE","Heidelberg","male",1910,"medicine","",1,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""","University of Heidelberg","Heidelberg","Germany"
"321",305,"Allvar","Gullstrand","1862-06-05","1930-07-28","Sweden","SE","Landskrona","Sweden","SE","Stockholm","male",1911,"medicine","",1,"""for his work on the dioptrics of the eye""","Uppsala University","Uppsala","Sweden"
"322",306,"Alexis","Carrel","1873-06-28","1944-11-05","France","FR","Sainte-Foy-lès-Lyon","France","FR","Paris","male",1912,"medicine","",1,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""","Rockefeller Institute for Medical Research","New York, NY","USA"
